Cz;Head;EEG;0.0;-90.0;0.0
FCz;Head;EEG;0.0;180.0;22.7919
Fz;Head;EEG;0.0;180.0;45.6082
AFz;Head;EEG;0.0;180.0;68.3903
Fpz;Head;EEG;0.0;180.0;91.2042
Nz;Head;EEG;0.0;180.0;114.0265
AF1;Head;EEG;0.0;-167.9733;70.3432
AF3;Head;EEG;0.0;-157.5394;75.8033
Fp1;Head;EEG;0.0;-162.0737;92.6979
AF5;Head;EEG;0.0;-149.4614;83.9692
AF7;Head;EEG;0.0;-144.1079;94.0196
AF2;Head;EEG;0.0;168.0455;70.3581
AF4;Head;EEG;0.0;157.5394;75.8033
AF6;Head;EEG;0.0;149.4614;83.9692
Fp2;Head;EEG;0.0;162.0737;92.6979
AF8;Head;EEG;0.0;144.1416;94.0164
AF10;Head;EEG;0.0;144.7327;117.5198
AF9;Head;EEG;0.0;-144.6954;117.5414
F1;Head;EEG;0.0;-156.5074;50.2248
F3;Head;EEG;0.0;-140.0532;62.0272
F5;Head;EEG;0.0;-130.5949;77.6872
F7;Head;EEG;0.0;-126.0867;95.0548
F9;Head;EEG;0.0;-126.6866;118.8373
FT7;Head;EEG;0.0;-108.0521;95.7453
FT9;Head;EEG;0.0;-108.3932;119.6848
FC5;Head;EEG;0.0;-110.6681;73.4815
FC3;Head;EEG;0.0;-117.5753;51.88
C3;Head;EEG;0.0;-90.0;48.0043
C5;Head;EEG;0.0;-90.0;71.9822
T3;Head;EEG;0.0;-90.0;95.973
T9;Head;EEG;0.0;-90.0;120.0294
A1;Head;EEG;0.0;-90.0;135.0
M1;Head;EEG;0.0;-79.5811;134.5237
FC1;Head;EEG;0.0;-135.0753;32.6129
C1;Head;EEG;0.0;-90.0;23.9741
CP1;Head;EEG;0.0;-44.9247;32.6129
CP3;Head;EEG;0.0;-62.4247;51.88
CP5;Head;EEG;0.0;-69.3319;73.4815
TP7;Head;EEG;0.0;-71.9479;95.7453
TP9;Head;EEG;0.0;-71.6068;119.6848
P9;Head;EEG;0.0;-53.3134;118.8373
T5;Head;EEG;0.0;-53.9133;95.0548
P5;Head;EEG;0.0;-49.4051;77.6872
P3;Head;EEG;0.0;-39.9468;62.0272
PO9;Head;EEG;0.0;-35.3046;117.5414
I1;Head;EEG;0.0;-17.468;115.8606
PO7;Head;EEG;0.0;-35.8921;94.0196
PO5;Head;EEG;0.0;-30.5386;83.9692
O1;Head;EEG;0.0;-17.9263;92.6979
PO3;Head;EEG;0.0;-22.4606;75.8033
PO1;Head;EEG;0.0;-12.0267;70.3432
POz;Head;EEG;0.0;0.0;68.3903
P1;Head;EEG;0.0;-23.4926;50.2248
Iz;Head;EEG;0.0;0.0;114.0265
Oz;Head;EEG;0.0;0.0;91.2042
CPz;Head;EEG;0.0;0.0;22.7919
Pz;Head;EEG;0.0;0.0;45.6082
P2;Head;EEG;0.0;23.4926;50.1808
PO2;Head;EEG;0.0;11.9545;70.3581
O2;Head;EEG;0.0;17.9263;92.6979
I2;Head;EEG;0.0;17.468;115.8606
CP2;Head;EEG;0.0;44.9247;32.6129
P4;Head;EEG;0.0;39.897;62.01
PO4;Head;EEG;0.0;22.4606;75.8033
PO6;Head;EEG;0.0;30.5386;83.9692
PO8;Head;EEG;0.0;35.8584;94.0164
PO10;Head;EEG;0.0;35.2673;117.5198
CP4;Head;EEG;0.0;62.4247;51.88
P6;Head;EEG;0.0;49.4051;77.6312
P8;Head;EEG;0.0;53.8668;95.0518
P10;Head;EEG;0.0;53.3134;118.8373
TP10;Head;EEG;0.0;71.6068;119.6848
M2;Head;EEG;0.0;79.5811;134.5237
A2;Head;EEG;0.0;90.0;135.0
T10;Head;EEG;0.0;90.0;120.0294
TP8;Head;EEG;0.0;71.8931;95.7435
CP6;Head;EEG;0.0;69.3319;73.4815
C4;Head;EEG;0.0;90.0;48.0
C6;Head;EEG;0.0;90.0;71.9822
T4;Head;EEG;0.0;90.0;95.973
FT10;Head;EEG;0.0;108.3932;119.6848
F10;Head;EEG;0.0;126.6866;118.8373
FT8;Head;EEG;0.0;108.0521;95.7453
F8;Head;EEG;0.0;126.1332;95.0518
FC6;Head;EEG;0.0;110.6681;73.4815
F6;Head;EEG;0.0;130.5949;77.6312
F4;Head;EEG;0.0;140.103;62.01
F2;Head;EEG;0.0;156.5074;50.1808
FC2;Head;EEG;0.0;135.0753;32.6129
FC4;Head;EEG;0.0;117.5753;51.88
C2;Head;EEG;0.0;90.0;24.0265
