Biceps_r;Arm_r;0.495;0.3;0;Arm_r;-0.495;0.3;0
Triceps_r;Arm_r;0.495;-0.3;0;Arm_r;-0.495;-0.3;0
Biceps_l;Arm_l;0.495;0.3;0;Arm_l;-0.495;0.3;0
Triceps_l;Arm_l;0.495;-0.3;0;Arm_l;-0.495;-0.3;0
Muscle 1;Forearm_r;0.495;0;0.3;Forearm_r;-0.495;0;0.3
Muscle 2;Forearm_r;0.495;0;-0.3;Forearm_r;-0.495;0;-0.3
Muscle 3;Forearm_l;0.495;0;0.3;Forearm_l;-0.495;0;0.3
Muscle 4;Forearm_l;0.495;0;-0.3;Forearm_l;-0.495;0;-0.3
Achille_r;Low_leg_r;0.495;0;-0.3;Low_leg_r;-0.495;0;-0.3
Achille_l;Low_leg_l;0.495;0;-0.3;Low_leg_l;-0.495;0;-0.3
